,Date,Open,High,Low,Close,Volume,score,cont_len,compound_score,final_tag,target value,year,month,day
0,2012-05-01,1277.3,1283.05,1265.26,1281.06,676180992.0,3,29,0.79,positive,1,2012,5,1
1,2012-06-01,1280.93,1281.84,1273.34,1277.81,596105216.0,0,143,0.44,positive,0,2012,6,1
2,2012-10-01,1280.77,1296.46,1280.77,1292.08,665245376.0,3,168,0.0,neutral,1,2012,10,1
3,2012-11-01,1292.02,1293.8,1285.41,1292.48,577531904.0,1,7,0.0,neutral,1,2012,11,1
4,2012-12-01,1292.48,1296.82,1285.77,1295.5,590075584.0,1,302,0.75,positive,1,2012,12,1
5,2012-06-02,1344.32,1344.36,1337.52,1344.33,539291520.0,4,130,0.48,positive,1,2012,6,2
6,2012-07-02,1344.33,1349.24,1335.92,1347.05,545415168.0,3,21,0.0,neutral,1,2012,7,2
7,2012-08-02,1347.04,1351.0,1341.95,1349.96,610168512.0,2,511,0.68,positive,1,2012,8,2
8,2012-09-02,1349.97,1354.32,1344.63,1351.95,626872192.0,2,640,-0.57,negative,1,2012,9,2
9,2012-10-02,1351.21,1351.21,1337.35,1342.64,585432192.0,1,325,-0.36,negative,0,2012,10,2
10,2012-05-03,1369.59,1369.59,1359.13,1364.33,538399232.0,2,138,-0.08,negative,0,2012,5,3
11,2012-06-03,1363.63,1363.63,1340.03,1343.36,667561920.0,1,54,0.44,positive,0,2012,6,3
12,2012-07-03,1343.39,1354.85,1343.39,1352.63,625659776.0,1,11,0.0,neutral,1,2012,7,3
13,2012-08-03,1352.65,1368.72,1352.65,1365.91,540003712.0,9,21,0.54,positive,1,2012,8,3
14,2012-05-04,1398.79,1401.6,1392.92,1398.08,595254272.0,1,22,0.4,positive,0,2012,5,4
15,2012-09-04,1397.45,1397.45,1378.24,1382.2,538616704.0,2,680,-0.64,negative,0,2012,9,4
16,2012-10-04,1382.18,1383.01,1357.38,1358.59,733544320.0,1,51,0.03,positive,0,2012,10,4
17,2012-11-04,1358.98,1374.71,1358.98,1368.7,593003200.0,1,436,-0.13,negative,1,2012,11,4
18,2012-04-13,1387.61,1387.61,1369.85,1370.26,631237824.0,1,60,0.0,neutral,0,2012,4,13
19,2012-04-16,1370.27,1379.66,1365.38,1369.57,596952128.0,1,194,0.8,positive,0,2012,4,16
20,2012-04-17,1369.57,1392.76,1369.57,1390.78,566529216.0,1,329,-0.23,negative,1,2012,4,17
21,2012-04-19,1385.08,1390.46,1370.3,1376.92,676165120.0,2,107,0.5,positive,0,2012,4,19
22,2012-04-20,1376.96,1387.4,1376.96,1378.53,887960832.0,1,52,0.0,neutral,1,2012,4,20
